1 0&
3 5000&
9 10000&
27 15000&
81 20000&
243 25000&
729 30000&
2187 35000&
6561 40000&
19683 45000&
59049 50000&
177147 55000&
531441 60000&
1594323 65000&
4782969 70000&
14348907 75000&
