1 0&
3 500000&
9 1000000&
27 1500000&
81 2000000&
243 2500000&
729 3000000&
2187 3500000&
6561 4000000&
19683 4500000&
59049 5000000&
177147 5500000&
531441 6000000&
1594323 6500000&
4782969 7000000&
14348907 7500000&
43046721 8000000&
129140163 8500000&
387420489 9000000&
1162261467 9500000&
3486784401 10000000&
10460353203 10500000&
31381059609 11000000&
94143178827 11500000&
282429536481 12000000&
847288609443 12500000&
2541865828329 13000000&
7625597484987 13500000&
22876792454961 14000000&
68630377364883 14500000&
205891132094649 15000000&
